old,new
c58d1d651081410f6797af40f9ae7ecf-126-2-7-racz.pdf,2022 - On the correction of multiple minute sampling rainfall data of tipping bucket rainfall recorders (Short.pdf
2024_TECO-2024_gaztelumendi-Evaluationandinter-comparisonofweighinggaugemeasurementsinBasqueCountry.pdf,2024 - Evaluation and inter-comparison of weighing gauge measurements in Basque Country.pdf
2017WR022421.pdf,2018 - Quantifying and Mitigating Wind-Induced Undercatch in Rainfall Measurements.pdf
Development_and_Testing_of_a_Low-Cost_Solar-powere.pdf,2024 - Development and Testing of a Low-Cost Solar-powered Disdrometer for Rainfall Characterization.pdf
Signalprocessingandcalibrationofalow-costinductiverainsensorforraindropdetectionandprecipitationcalculation.pdf,2024 - Signal processing and calibration of a low-cost inductive rain sensor for raindrop detection and.pdf
Xu.pdf,2022 - Raindrop energy-powered autonomous wireless hyetometer based on liquid–solid contact electrification.pdf
A_Kind_of_Rainfall_Sensor_Design_without_Mechanica.pdf,2016 - A Kind of Rainfall Sensor Design without Mechanical Structure.pdf
An_Adjustable-Rate_User-Printable_Rain_Gauge_Calib.pdf,2026 - An Adjustable-Rate User-Printable Rain Gauge Calibrator.pdf
gi-13-163-2024.pdf,2024 - Calibrating low-cost rain gauge sensors for their applications in Internet of Things (IoT) infrastructures to.pdf
Graph_Learning-based_Regional_Heavy_Rainfall_Predi.pdf,2024 - Graph Learning-based Regional Heavy Rainfall Prediction Using Low-Cost Rain Gauges.pdf
Wang2024-GRL-.pdf,2024 - Coupling Physical Factors for Precipitation Forecast in China With Graph Neural Network.pdf
Development_of_a_Low-Cost_Automated_Hydrological_I.pdf,"2023 - Development of a Low-Cost Automated Hydrological Information System for Remote Areas in Morelia, Mexico.pdf"
A_User-Printable_Three-Rate_Rain_Gauge_Calibration.pdf,2019 - A User-Printable Three-Rate Rain Gauge Calibration System.pdf
Innovative_Configuration_Design_of_Two-Wire_Tip_Me.pdf,2020 - Innovative Configuration Design of Two-Wire Tip Mechanisms for a Tipping-Bucket Rain Gauge.pdf
THE_MAIN_PURPOSE_FOR_THE_APPLICATION_OF_DOUBLE_LAY.pdf,2017 - THE MAIN PURPOSE FOR THE APPLICATION OF DOUBLE LAYER TIPPING BUCKET SENSORS IN RAINFALL MEASUREMENTS.pdf
amt-9-5699-2016.pdf,2016 - Performance of post-processing algorithms for rainfall intensity using measurements from tipping-bucket rain.pdf
amt-2016-257-manuscript-version2.pdf,2016 - Performance of post-processing algorithms for rainfall intensity measurements of tipping-bucket rain gauges.pdf
Schwambacketal2023-Tippingbucketdesign.pdf,2023 - Adaptive design of tipping bucket flow meters for continuous runoff measurement.pdf
1-s2.0-S0955598623001656-main.pdf,2022 - On the Development of Opensource 3d Printed Impeller Flowmeters for Open Channels.pdf
2013_Acomparisonofrainfallmeasurementsfrommultipleinstruments.pdf,2013 - A comparison of rainfall measurements from multiple instruments.pdf
water-15-03383.pdf,2023 - Recording Rainfall Intensity Has an Optimum Method Been Found.pdf
Dunkerley2025dataloggertimeresolution.pdf,2025 - Limited Time Resolution of Event Data Loggers Can Bias Intensity Measurements from Tipping-Bucket Rain Gauges.pdf
disdrodb_an_open-source_Python_package_for_standar.pdf,"2026 - disdrodb an open-source Python package for standardized processing, sharing, and analysis of disdrometer data.pdf"
Validation_of_rainfall_data_observed_by_using_disd.pdf,2026 - Validation of rainfall data observed by using disdrometer under wet-bulb temperature conditions.pdf
Calibration_Uncertainty_of_Non-Catching_Precipitat.pdf,2022 - Calibration Uncertainty of Non-Catching Precipitation Gauges.pdf
THE_BIAS_OF_WEB_BASED_RAIN_GAUGE_CALIBRATOR_DUE_TO.pdf,2020 - THE BIAS OF WEB BASED RAIN GAUGE CALIBRATOR DUE TO BUBBLES.pdf
Intensity-duration-frequency_curve_derivation_from.pdf,2020 - Intensity-duration-frequency curve derivation from different rain gauge records.pdf
Technical_note_An_innovative_monitoring_approach_t.pdf,2025 - Technical note An innovative monitoring approach to measure spatio-temporal throughfall patterns in forests.pdf
MaftukhahWijonarko2019RTU-178-1010-1-PB.pdf,2019 - A DATA PROCESSING PROGRAM FOR WEB BASED RAIN GAUGE CALIBRATORS.pdf
Empirical_Formulas_Between_Outdoor_Temperature_And_Humidity.pdf,2021 - Empirical Formulas Between Outdoor Temperature And Humidity.pdf
THE_SECOND_GENERATION_OF_WEB_BASED_RAIN_GAUGE_CALI.pdf,2020 - THE SECOND GENERATION OF WEB BASED RAIN GAUGE CALIBRATOR.pdf
Wijonarkoetal2019Calibrator-176-1015-1-PB.pdf,2019 - WEB BASED RAIN GAUGE CALIBRATOR.pdf
COMPARISON_AND_CORRELATION_AMONG_MEASUREMENT_RESUL.pdf,"2016 - COMPARISON AND CORRELATION AMONG MEASUREMENT RESULTS OF OBSERVATORY, HELLMAN, AND TIPPING BUCKET SENSORS.pdf"
Development_of_procedures_for_calibration_of_meteo.pdf,2018 - Development of procedures for calibration of meteorological sensors. Case study calibration of a.pdf
Sensors_for_rain_measurements.pdf,2021 - Sensors for rain measurements.pdf
Scalable_radar-driven_approach_with_compact_gradie.pdf,2026 - Scalable radar-driven approach with compact gradient-boosting models for gap filling in high-resolution.pdf
DigitalTwinTechnologyforUbanFloodRiskmanagement.pdf,2025 - Digital Twin Technology for Urban Flood Risk Management A Systematic Review of Remote Sensing Applications.pdf
Infilling_of_missing_rainfall_radar_data_with_a_me.pdf,2025 - Infilling of missing rainfall radar data with a memory-assisted deep learning approach.pdf
Quality_control_of_hourly_rain_gauge_data_based_on.pdf,2024 - Quality control of hourly rain gauge data based on radar and satellite multi-source data.pdf
A_Machine_Learning-Based_Quality_Control_Algorithm.pdf,2025 - A Machine Learning-Based Quality Control Algorithm for Heavy Rainfall Using Multi-Source Data.pdf
35.395-105.pdf,2026 - Optimization of Radar Rainfall Estimation in Yogyakarta using a Time Correction Approach and DEM-Based Height.pdf
engproc-94-00019.pdf,2025 - Enhancing Rainfall Measurement Using Remote Sensing Data in Sparse Rain Gauge Networks A Case Study in White.pdf
Automatic_quality_control_of_telemetric_rain_gauge.pdf,2022 - Automatic quality control of telemetric rain gauge data providing quantitative quality information.pdf
A_Health-Score-Based_Framework_for_Quality_Assessm.pdf,2026 - A Health-Score-Based Framework for Quality Assessment and Spatial Reconstruction of Rainfall Monitoring Data.pdf
Technical_note_A_guide_to_using_three_open-source_.pdf,2024 - Technical note A guide to using three open-source quality control algorithms for rainfall data from personal.pdf
Assessment_of_Different_Methods_for_Estimation_of_.pdf,2024 - Assessment of Different Methods for Estimation of Missing Rainfall Data.pdf
Comparison_of_Methods_to_Estimate_Missing_Values_in_Monthly_Rainfall_Data.pdf,2021 - Comparison of Methods to Estimate Missing Values in Monthly Rainfall Data.pdf
An_unsupervised_machine_learning_approach_for_esti.pdf,2024 - An unsupervised machine learning approach for estimating missing daily rainfall data in peninsular malaysia.pdf
Missing_Rainfall_Daily_Data_A_Comparison_Among_Gap.pdf,2023 - Missing Rainfall Daily Data A Comparison Among Gap-Filling Approaches.pdf
hydr-JHM-D-25-0043.1.pdf,2025 - How Close Are Opportunistic Rainfall Observations to Providing Societal Benefit.pdf
Real-time_automated_quality_control_of_atmospheric.pdf,2026 - Real-time automated quality control of atmospheric aerosol time series.pdf
Tipping-bucket_rain_gauges_a_review_of_the_underca.pdf,"2025 - Tipping‐bucket rain gauges a review of the undercatch phenomenon, and methods for its reduction and correction.pdf"
WaterResourcesResearch-2024-Cauteruccio-TheOverallCollectionEfficiencyofCatchingTypePrecipitationGaugesin.pdf,2024 - The Overall Collection Efficiency of Catching‐Type Precipitation Gauges in Windy Conditions.pdf
The_Impact_of_Wind_on_Precipitation_Measurements_f.pdf,2024 - The Impact of Wind on Precipitation Measurements from a Compact Piezoelectric Sensor.pdf
Investigation_of_the_Wind-Induced_Airflow_Pattern_.pdf,2021 - Investigation of the Wind-Induced Airflow Pattern Near the Thies LPM Precipitation Gauge.pdf
Adjustment_of_1_min_rain_gauge_time_series_using_c.pdf,2023 - Adjustment of one-minute rain gauge time series using co-located drop size distribution and wind speed (2).pdf
1-s2.0-S002216942100740X-main.pdf,2021 - Experimental evidence of the wind-induced bias of precipitation gauges using Particle Image Velocimetry and.pdf
An_Improved_Mathematical_Theory_for_Designing_Memb.pdf,2023 - An Improved Mathematical Theory for Designing Membrane Deflection-Based Rain Gauges.pdf
Estimating rainfall intensity based on surveillance audio and deep-learning.pdf,2024 - Estimating rainfall intensity based on surveillance audio and deep-learning (2).pdf
