Name,DOI,Link,Abstract,Status,Type,Date_Added,File,What_They_Do,Results,Inference,Supports_This_Project
Relative Performance of Automatic Rain Gauges under Different Rainfall Conditions,10.1175/1520-0426(1999)016<1025:RPOARG>2.0.CO;2,https://doi.org/10.1175/1520-0426(1999)016%3C1025:RPOARG%3E2.0.CO;2,"Nystuen (1999) compares six automatic gauge types (tipping bucket, weighing, capacitance, optical, disdrometer, acoustic) side by side for 17 months (~800 events) in Miami across rainfall regimes.",Downloaded,Article,2026-07-15,research papers\atot-1520-0426_1999_016_1025_rpoarg_2_0_co_2.pdf (+2 named copies),"Nystuen (1999) compares six automatic gauge types (tipping bucket, weighing, capacitance, optical, disdrometer, acoustic) side by side for 17 months (~800 events) in Miami across rainfall regimes.","All gauges intercorrelate >=0.9 at 1-min rates, biases <10%, but each fails somewhere: TB & disdrometer bias low >100 mm/h, optical biases high, capacitance/TB noisy <2 mm/h, acoustic masked by >3.5 mm drops, acoustic & disdrometer bias low above 5 m/s wind.","Ground truth is not absolute: our tipping-bucket labels carry known condition-dependent biases, so part of model residual error is label error.","Quantifies label noise in our ground truth, identifies the regimes (extreme rain, drizzle, wind) where acoustic sensing needs targeted data/features, and backs the wind-undercatch claims in the handbook."
Passive Acoustic Detection and Measurement of Rainfall at Sea,10.1175/JTECH1773.1,https://doi.org/10.1175/JTECH1773.1,"Ma & Nystuen (2005) turn TAO-array hydrophones (90+ buoy-months) into calibrated acoustic rain gauges: absolute self-calibration using the universal wind-sound spectrum, acoustic discrimination of rain vs wind vs noise, then a single-frequency rainfall-rate algorithm.",Downloaded,Article,2026-07-15,research papers\atot-jtech1773_1.pdf,"Ma & Nystuen (2005) turn TAO-array hydrophones (90+ buoy-months) into calibrated acoustic rain gauges: absolute self-calibration using the universal wind-sound spectrum, acoustic discrimination of rain vs wind vs noise, then a single-frequency rainfall-rate algorithm.","Acoustic rainfall accumulations match collocated R.M. Young gauges and TRMM 3B42 from hourly to yearly scales, and the method transfers to two other ocean sites.","A classify-first then-regress cascade is the proven acoustic architecture, and self-calibration against a universal ambient reference solves cross-sensor variation.",Precedent for our detection-to-regression pipeline; wind-based self-calibration maps onto our cross-campaign normalization problem (we already removed harmful per-clip peak normalization).
Raindrop Size Distribution and Sampling Size Errors,10.1175/1520-0469(1969)026<0566:RSDASE>2.0.CO;2,https://doi.org/10.1175/1520-0469(1969)026%3C0566:RSDASE%3E2.0.CO;2,Joss & Waldvogel (1969) derive theoretically (exponential DSD + Poisson drop counts) the standard deviation of rain rate R and reflectivity Z estimated from finite drop samples.,Downloaded,Article,2026-07-15,research papers\RaindropSizeDist......JASMay1969.pdf (scan),Joss & Waldvogel (1969) derive theoretically (exponential DSD + Poisson drop counts) the standard deviation of rain rate R and reflectivity Z estimated from finite drop samples.,"Small samples give badly noisy R and Z: at 1 mm/h, ~1 m2 of surface for 1 s is needed for Z within 20% of the mean at 68% probability; sampling error alone explains much Z-R variability.",Any short-window rain estimate (10 s audio clip vs 0.2 mm-per-tip bucket) has an irreducible variance floor from counting finitely many drops.,"Explains a structural part of our residual error (quantized, sampling-noisy light-rain labels), justifies temporal aggregation, and defends realistic-data R2 against curated benchmarks."
Systematic Study of Weather Variables for Rainfall Detection,arXiv:1805.01957,https://arxiv.org/abs/1805.01957,"Manandhar et al. (2018) run PCA on 7 weather/time variables (RH, solar, temperature, dew point, GPS-PWV, day-of-year, time-of-day) from a Singapore station and use leading PCs to separate rain vs no-rain.",Downloaded,Conference Paper,2026-07-15,research papers\1805.01957v1.pdf,"Manandhar et al. (2018) run PCA on 7 weather/time variables (RH, solar, temperature, dew point, GPS-PWV, day-of-year, time-of-day) from a Singapore station and use leading PCs to separate rain vs no-rain.",Four PCs explain 85% of variance; the first two already separate rain/no-rain; all 7 variables contribute comparably to detection.,Cheap scalar weather variables carry real rain/no-rain signal but are largely redundant; a few components suffice.,Tells us which auxiliary weather features would add detection skill (and that they should be decorrelated) - useful for suppressing false positives in dry noisy clips.
Analyzing the Impact of Meteorological Parameters on Rainfall Prediction,arXiv:2110.11059,https://arxiv.org/abs/2110.11059,Pathan et al. (2021) correlate 5 years of NOAA station data (Michigan) and use ML feature selection to rank meteorological features for rainfall prediction.,Downloaded,Conference Paper,2026-07-15,research papers\2110.11059v1.pdf,Pathan et al. (2021) correlate 5 years of NOAA station data (Michigan) and use ML feature selection to rank meteorological features for rainfall prediction.,Wind-related features correlate positively with precipitation (r~0.24-0.26) and rank among the most important predictors.,Wind is not only a gauge/audio confounder - it is itself informative about precipitation occurrence.,Reinforces wind speed as the right next feature: it both confounds the acoustic signal and independently predicts rain.
Measurement of Underwater Acoustic Energy Radiated by Single Raindrops,10.3390/s21082687,https://doi.org/10.3390/s21082687,"Liu et al. (2021) derive a dipole-radiation formula for per-raindrop underwater sound energy and measure it in a reverberation tank across drop sizes, modeling kinetic-to-acoustic conversion efficiency.",Downloaded,Article,2026-07-15,research\Category 1\sensors-21-02687.pdf,"Liu et al. (2021) derive a dipole-radiation formula for per-raindrop underwater sound energy and measure it in a reverberation tank across drop sizes, modeling kinetic-to-acoustic conversion efficiency.",A predictive model of average radiated sound energy for any drop diameter; total rainfall sound energy predictable from the drop size distribution.,"Acoustic energy scales with drop size/kinetic energy quantifiably: 'louder = heavier rain' is monotonic but DSD-dependent, not a simple function of rain rate.",Grounds intensity regression in drop physics and explains why energy features are strong but imperfect - motivating spectral-shape features alongside band energies.
Measurement of Three-Dimensional Unsteady Flows Using an Inexpensive Multiple Disk Probe,10.1175/1520-0426(2001)018<0883:MOTDUF>2.0.CO;2,https://doi.org/10.1175/1520-0426(2001)018%3C0883:MOTDUF%3E2.0.CO;2,Green et al. (2001) develop a cheap velocimeter of three orthogonal pressure-transducer disks measuring all 3 wind velocity components in highly 3-D flows.,Downloaded,Article,2026-07-15,research\Category 1\atot-1520-0426_2001_018_0883_motduf_2_0_co_2.pdf,Green et al. (2001) develop a cheap velocimeter of three orthogonal pressure-transducer disks measuring all 3 wind velocity components in highly 3-D flows.,Flat response to 3-4 Hz and velocity accuracy better than +/-0.3 m/s in field and wind-tunnel trials - adequate for many meteorological uses at a fraction of sonic-anemometer cost.,Research-grade wind measurement can be cheap and robust (no moving parts).,"Candidate low-cost wind sensor for the planned wind-speed channel at deployment sites, consistent with our low-cost philosophy."
"A Statistical Study of Wind Speed and its Connectivity with Relative Humidity and Temperature in Ughelli, Nigeria",10.4314/swj.v18i3.13,https://dx.doi.org/10.4314/swj.v18i3.13,Siloko & Uddin (2023) apply Gaussian kernel-density analysis to 5 years of wind speed data and its correlation with humidity and temperature at one Nigerian site.,Downloaded,Article,2026-07-15,"research\Category 1\scienceworld,+Vol+18(3)+pp+404-413+Siloko+et+al.pdf",Siloko & Uddin (2023) apply Gaussian kernel-density analysis to 5 years of wind speed data and its correlation with humidity and temperature at one Nigerian site.,Wind-temperature correlation consistently negative; wind-humidity correlation flips sign between years.,Wind statistics and their couplings to other weather variables are site- and season-specific and unstable across years.,Background caution: wind-related features/corrections learned in one campaign or climate may not transfer - supports our campaign-aware validation splits.
The Performance Measurement Test on Rain Gauge of Tipping Bucket due to Controlling of the Water Flow Rate,,,Prakosa et al. (ElConRus 2018) lab-test tipping-bucket repeatability by feeding controlled flow rates (24-100 ml/min) via a PWM-controlled pump and counting tips.,Downloaded,Conference Paper,2026-07-15,research papers\Paper_RainGaugeTippingBucketIEEE.pdf (paper at PDF pages 30-34 of an ElConRus 2018 proceedings extract),Prakosa et al. (ElConRus 2018) lab-test tipping-bucket repeatability by feeding controlled flow rates (24-100 ml/min) via a PWM-controlled pump and counting tips.,"Volume per tip varied across series: 18.93+/-0.60, 17.89+/-0.92, 17.80+/-0.60 ml/tip (avg 18.21+/-1.25, ~7% spread) - flow rate significantly affects calibration.",The mm-per-tip constant of a tipping bucket is intensity-dependent; ground-truth conversion drifts a few percent with rain rate.,"Another quantified label-error source, biased exactly at high intensities where our model struggles; supports dynamic calibration corrections on gauge labels."
AI Methods in Sensor Calibration (Review),10.3390/s26092805,https://doi.org/10.3390/s26092805,"Kou et al. (Sensors 2026) review AI replacing polynomial transfer-function fitting in sensor calibration: learned input-output mappings, compensation of temperature/humidity/drift, enabling low-cost sensor fleets, plus preprocessing/augmentation tooling.",Downloaded,Review,2026-07-15,research papers\AI_Methods_in_Sensor_Calibration.pdf,"Kou et al. (Sensors 2026) review AI replacing polynomial transfer-function fitting in sensor calibration: learned input-output mappings, compensation of temperature/humidity/drift, enabling low-cost sensor fleets, plus preprocessing/augmentation tooling.","Across many sensor types AI calibration beats preset empirical models on accuracy and stability, especially for nonlinear transfer functions and environmental compensation; generalization and long-term drift remain open.","This project is an instance of AI sensor calibration: the microphone is the raw sensor, the ML model its learned transfer function to mm/h, and cross-campaign compensation is the hard part AI handles best.",Framing for the paper's related work and a menu of interference-compensation and augmentation techniques for cross-campaign robustness.
"Guide to Meteorological Instruments and Methods of Observation (WMO-No. 8, 7th ed., 2008)",,https://library.wmo.int/idurl/4/41650,"The WMO standard reference defining how precipitation and all meteorological variables must be measured: siting, exposure, gauge types, uncertainty requirements, QC procedures, wind-undercatch corrections.",Downloaded,Standard/Guide,2026-07-15,research\Category 1\CWOP-WMO8.pdf (681 pages),"The WMO standard reference defining how precipitation and all meteorological variables must be measured: siting, exposure, gauge types, uncertainty requirements, QC procedures, wind-undercatch corrections.",Defines the accuracy classes and siting/exposure rules official rain measurements follow worldwide.,Claims that an acoustic gauge matches official measurement quality must be phrased against WMO-No. 8 requirements.,"Compliance yardstick: target uncertainty specification, ground-truth siting justification, and standard undercatch corrections for our tipping-bucket labels."
RHD Rain Disdrometer and Hail Detection Sensor (commercial datasheet - NOT a research paper),,,"Commercial low-cost acoustic rain gauge/disdrometer: sealed 160 mm stainless hemisphere sensing drop/hail impacts; no moving parts, <1 mA standby; analog/SDI-12/RS-232/Modbus outputs.",Downloaded,Datasheet,2026-07-15,research papers\Rain disdrometer and hail detection.pdf = research\Category 1\Datasheet_RHD_V1_41.pdf (byte-identical),"Commercial low-cost acoustic rain gauge/disdrometer: sealed 160 mm stainless hemisphere sensing drop/hail impacts; no moving parts, <1 mA standby; analog/SDI-12/RS-232/Modbus outputs.","Spec: rain intensity accuracy +/-15%; DSD in 27 classes (<=0.75 to >=7.0 mm, ~0.5 mm threshold); hail counting to 5 impacts/s; drop velocity not measured.",Industry already sells impact-acoustic rain sensing at +/-15% accuracy but requires a dedicated engineered surface - that is the commercial bar for a microphone-only ML approach.,"Competitive benchmark (+/-15%), proof of commercial demand, and a target feature set (27-class DSD output) for the long-term roadmap."
A Multi-Sensor Comparative Analysis on the Suitability of Generated DEM from Sentinel-1 SAR Interferometry (OFF-TOPIC),10.3390/s20247214,https://doi.org/10.3390/s20247214,"Mohammadi et al. (2020) generate a DEM from Sentinel-1 InSAR for sites in Malaysia and Iran and compare against AIRSAR, ALOS-PALSAR, TanDEM-X and SRTM using statistical and hydrological criteria.",Downloaded,Article,2026-07-15,research papers\sensors-20-07214.pdf (+2 'n.d.' copies),"Mohammadi et al. (2020) generate a DEM from Sentinel-1 InSAR for sites in Malaysia and Iran and compare against AIRSAR, ALOS-PALSAR, TanDEM-X and SRTM using statistical and hydrological criteria.",Sentinel-1 DEM is noisy (short perpendicular baseline) and performs worse than SRTM and TanDEM-X despite finer nominal resolution.,Off-topic for acoustic rainfall sensing; likely collected as general hydrology background.,No direct support - recommend moving out of the rainfall library so it does not pollute searches.
Utilizing Piezo Acoustic Sensors for the Identification of Surface Roughness and Textures (tangential),10.3390/s22124381,https://doi.org/10.3390/s22124381,Kursun et al. (2022) correlate frequency spectra from piezo disks (elastic waves from a stylus dragged on metal) with profilometer surface-roughness parameters Ra/Rz.,Downloaded,Article,2026-07-15,research papers\sensors-22-04381.pdf (= 'n.d.' copy),Kursun et al. (2022) correlate frequency spectra from piezo disks (elastic waves from a stylus dragged on metal) with profilometer surface-roughness parameters Ra/Rz.,Clear correlations between piezo-acoustic spectra and traditional roughness measurements; promising novel roughness measurement method.,"Manufacturing metrology, not meteorology - but independently demonstrates that impact/friction acoustics plus spectral analysis yields quantitative physical parameters.","Methodological inspiration only, for piezo-based sensing-surface variants of the acoustic gauge."
A self-powered microsystem with efficient power management for continuous wireless sensing (deployment-adjacent),10.1038/s41378-026-01315-z,https://doi.org/10.1038/s41378-026-01315-z,"Zhao et al. (2026) power a continuously sensing wireless microsystem entirely from a triboelectric nanogenerator (TENG) harvesting <10 Hz mechanical energy, with power management fixing the TENG-electronics impedance mismatch.",Downloaded,Article,2026-07-15,research papers\A_self-powered_microsystem_with_efficient_power_ma.pdf,"Zhao et al. (2026) power a continuously sensing wireless microsystem entirely from a triboelectric nanogenerator (TENG) harvesting <10 Hz mechanical energy, with power management fixing the TENG-electronics impedance mismatch.",5x energy gain over full-bridge rectification; cold-start 0 to 4.2 V in 525 s; ~110 uW delivered at 5 Hz excitation; battery-less wireless gas monitor demonstrated.,"Battery-less power budgets (~110 uW) are far below continuous audio-ML capture needs today, but energy-autonomous nodes (incl. raindrop TENGs) are maturing.",Deployment engineering reference if the project explores energy-autonomous field nodes; not a rainfall-estimation reference.
Numerical simulation studies of rain gage data correction due to wind effect,10.1029/1999JD900228,https://doi.org/10.1029/1999JD900228,"Habib, Krajewski, Nespor & Kruger (1999) use CFD-derived wind-flow-around-gage correction formulae with high-resolution rainfall/wind data, focused on how the temporal averaging scale affects the estimated wind-induced bias.",Downloaded,Article,2026-07-15,research papers\1999 - Numerical simulation studies of rain gage data correction due to wind effect.pdf,"Habib, Krajewski, Nespor & Kruger (1999) use CFD-derived wind-flow-around-gage correction formulae with high-resolution rainfall/wind data, focused on how the temporal averaging scale affects the estimated wind-induced bias.","Correcting at short timescales (down to 1 min) is essential - averaging first significantly overestimates the wind bias. The error is a nonlinear function of wind speed, rain rate, AND drop-size distribution; wind-speed-only correction factors show large scatter vs literature.","A wind correction applied at coarse time resolution is actively harmful, not just imprecise; wind speed alone is an incomplete correction variable without DSD information.","Informs how to add a wind channel: correction/features must operate at our native short-clip resolution, and a simple wind-speed feature alone may underperform without a DSD proxy (which the acoustic spectrum itself may supply)."
Bias correction of global daily rain gauge measurements,,,"Ungersbock, Rubel, Fuchs & Rudolf (2001) develop a statistical model (for BALTEX/GPCC) correcting DAILY rain-gauge bias instead of only monthly correction factors, validated across 4 GEWEX continental regions.",Downloaded,Article,2026-07-15,research papers\2001 - Bias correction of global daily rain gauge measurements.pdf,"Ungersbock, Rubel, Fuchs & Rudolf (2001) develop a statistical model (for BALTEX/GPCC) correcting DAILY rain-gauge bias instead of only monthly correction factors, validated across 4 GEWEX continental regions.","Daily corrections roughly match monthly Legates (1987) corrections in Europe in summer but diverge elsewhere: Legates over-corrects snow by up to 50% and over-corrects Asia/South-America by 50-100%, while matching closely in North America.","Gauge correction factors are not universal - they vary by region, season, and precipitation phase; coarse monthly corrections can be badly wrong for individual days.","Reinforces that any correction to tipping-bucket ground truth must be fine-grained (temporal + regional), consistent with our existing campaign-aware treatment of 19 field deployments."
Corrections of rainfall data obtained by tipping bucket rain gauge,10.1016/0169-8095(91)90005-N,https://doi.org/10.1016/0169-8095(91)90005-N,"Maksimovic, Busek & Petrovic (1991) lab/field-test a Rimco tipping-bucket gauge to characterize non-linearity (tip volume depends on intensity), 'double tipping' after successive tips, and calibration-volume sensitivity.",Downloaded,Article,2026-07-15,research papers\1991 - Corrections of rainfall data obtained by tipping bucket rain gauge.pdf,"Maksimovic, Busek & Petrovic (1991) lab/field-test a Rimco tipping-bucket gauge to characterize non-linearity (tip volume depends on intensity), 'double tipping' after successive tips, and calibration-volume sensitivity.","Presents a full experimental correction methodology so raw field tips can be corrected for these non-linear, intensity-dependent effects.","The mm-per-tip conversion is not constant even within one gauge - it depends on current rain intensity, and errors compound at high intensity.","Second independent confirmation (with Prakosa et al. 2018) that tipping-bucket ground truth carries intensity-dependent systematic error, strengthening the case for treating gauge labels as noisy, especially at high rain rates where our model already underperforms."
Rainfall and sampling uncertainties: A rain gauge perspective,10.1029/2007JD009214,https://doi.org/10.1029/2007JD009214,"Villarini, Mandapaka, Krajewski & Moore (2008) use 6+ years from a dense 50-gauge network (135 km2, Brue catchment, England) to characterize temporal sampling uncertainty (observation gaps) and spatial sampling uncertainty (point vs areal estimate).",Downloaded,Article,2026-07-15,research papers\2008 - Rainfall and sampling uncertainties A rain gauge perspective.pdf,"Villarini, Mandapaka, Krajewski & Moore (2008) use 6+ years from a dense 50-gauge network (135 km2, Brue catchment, England) to characterize temporal sampling uncertainty (observation gaps) and spatial sampling uncertainty (point vs areal estimate).",Temporal sampling uncertainty grows with sampling interval per a scaling law and shrinks with larger averaging area; spatial sampling uncertainty shrinks with longer accumulation time. Derives a rule for how many gauges are needed for a given areal-accuracy target.,"Comparing a point sensor (gauge or single microphone) to an areal ground truth carries an intrinsic, quantifiable representativeness error separate from instrument error.","Gives vocabulary/framework for a limitation we face implicitly: a single microphone, like a single gauge, is a point measurement, relevant when discussing area-coverage value propositions or non-co-located gauge comparisons."
Rainfall Variability and its Effect on Rainfall Measurements,,,"Steiner, Smith, Uijlenhoet & Hou (AMS preprint P14.1) analyze 30 storms over the densely-instrumented Goodwin Creek watershed (Mississippi) to separate how much radar-vs-gauge disagreement is due to sensor-resolution differences versus genuine small-scale rainfall variability.",Downloaded,Conference Paper,2026-07-15,research papers\n.d. - Rainfall variability and its effect on rainfall measurements.pdf,"Steiner, Smith, Uijlenhoet & Hou (AMS preprint P14.1) analyze 30 storms over the densely-instrumented Goodwin Creek watershed (Mississippi) to separate how much radar-vs-gauge disagreement is due to sensor-resolution differences versus genuine small-scale rainfall variability.","High-quality gauge data is essential for radar bias-adjustment - poor gauge data can dramatically distort merged rainfall products; a meaningful share of radar-gauge disagreement is attributable to real spatiotemporal rainfall variability, not instrument error.",Disagreement between two well-functioning rainfall instruments does not automatically mean one is broken - some of it is genuine physical small-scale variability of rain.,"Caution for evaluating our acoustic-gauge-vs-tipping-bucket comparison: some residual error should be attributed to genuine micro-scale rainfall variability between what the mic hears locally and what a (possibly non-co-located) gauge collects, not solely to model inaccuracy."
